#Gene stable ID	Transcript stable ID	Gene name
YLR057W	YLR057W_mRNA	MNL2
YIL024C	YIL024C_mRNA	
YHR131W-A	YHR131W-A_mRNA	
YJL141C	YJL141C_mRNA	YAK1
YPR192W	YPR192W_mRNA	AQY1
YOR304W	YOR304W_mRNA	ISW2
YLR009W	YLR009W_mRNA	RLP24
YDL050C	YDL050C_mRNA	
YEL048C	YEL048C_mRNA	TCA17
snR64	snR64_snoRNA	SNR64
YBR196C-A	YBR196C-A_mRNA	
YLL024C	YLL024C_mRNA	SSA2
YOR255W	YOR255W_mRNA	OSW1
YNL141W	YNL141W_mRNA	AAH1
YDR535C	YDR535C_mRNA	
YML034W	YML034W_mRNA	SRC1
YDR202C	YDR202C_mRNA	RAV2
YBL091C-A	YBL091C-A_mRNA	SCS22
YER099C	YER099C_mRNA	PRS2
YGL002W	YGL002W_mRNA	ERP6
YMR131C	YMR131C_mRNA	RRB1
YGL123C-A	YGL123C-A_mRNA	
YLL048C	YLL048C_mRNA	YBT1
YPL150W	YPL150W_mRNA	
YBR113W	YBR113W_mRNA	
YCL067C	YCL067C_mRNA	HMLALPHA2
YMR263W	YMR263W_mRNA	SAP30
YOR289W	YOR289W_mRNA	
YCL025C	YCL025C_mRNA	AGP1
YDL132W	YDL132W_mRNA	CDC53
YKL186C	YKL186C_mRNA	MTR2
YCL043C	YCL043C_mRNA	PDI1
YOL100W	YOL100W_mRNA	PKH2
tL(CAA)G3	tL(CAA)G3_tRNA	
YML031C-A	YML031C-A_mRNA	YML031C-A
YDR034C-A	YDR034C-A_mRNA	
YOR337W	YOR337W_mRNA	TEA1
YDL013W	YDL013W_mRNA	SLX5
YDR534C	YDR534C_mRNA	FIT1
YLR157C	YLR157C_mRNA	ASP3-2
YGL039W	YGL039W_mRNA	
YCR012W	YCR012W_mRNA	PGK1
YOL086W-A	YOL086W-A_mRNA	MHF1
YHR049W	YHR049W_mRNA	FSH1
YMR113W	YMR113W_mRNA	FOL3
YPL055C	YPL055C_mRNA	LGE1
YBR213W	YBR213W_mRNA	MET8
YLR226W	YLR226W_mRNA	BUR2
YCR075C	YCR075C_mRNA	ERS1
YDR392W	YDR392W_mRNA	SPT3
YAL051W	YAL051W_mRNA	OAF1
YPL079W	YPL079W_mRNA	RPL21B
YDR178W	YDR178W_mRNA	SDH4
YDR121W	YDR121W_mRNA	DPB4
YJL013C	YJL013C_mRNA	MAD3
YDL063C	YDL063C_mRNA	SYO1
Q0060	Q0060_mRNA	AI3
YJL109C	YJL109C_mRNA	UTP10
YJR155W	YJR155W_mRNA	AAD10
YKL177W	YKL177W_mRNA	
YDR435C	YDR435C_mRNA	PPM1
