#Gene stable ID	Transcript stable ID	Gene name
YMR232W	YMR232W_mRNA	FUS2
YER190W	YER190W_mRNA	YRF1-2
YCR066W	YCR066W_mRNA	RAD18
YJR063W	YJR063W_mRNA	RPA12
YKL084W	YKL084W_mRNA	HOT13
YPR006C	YPR006C_mRNA	ICL2
YGR211W	YGR211W_mRNA	ZPR1
YHR175W	YHR175W_mRNA	CTR2
YDR326C	YDR326C_mRNA	YSP2
YOR196C	YOR196C_mRNA	LIP5
YLL006W	YLL006W_mRNA	MMM1
YPR056W	YPR056W_mRNA	TFB4
YOR350C	YOR350C_mRNA	MNE1
YOL137W	YOL137W_mRNA	BSC6
YAR027W	YAR027W_mRNA	UIP3
YBR230C	YBR230C_mRNA	OM14
YPL223C	YPL223C_mRNA	GRE1
YCR035C	YCR035C_mRNA	RRP43
YGL174W	YGL174W_mRNA	BUD13
YDL033C	YDL033C_mRNA	SLM3
YLR443W	YLR443W_mRNA	ECM7
YOR122C	YOR122C_mRNA	PFY1
YJL149W	YJL149W_mRNA	DAS1
YKL100W-A	YKL100W-A_mRNA	
YOR256C	YOR256C_mRNA	TRE2
YAL030W	YAL030W_mRNA	SNC1
YBR040W	YBR040W_mRNA	FIG1
YPR010C-A	YPR010C-A_mRNA	
YER012W	YER012W_mRNA	PRE1
YKL035W	YKL035W_mRNA	UGP1
YLR325C	YLR325C_mRNA	RPL38
YDR398W	YDR398W_mRNA	UTP5
YMR201C	YMR201C_mRNA	RAD14
YCR002C	YCR002C_mRNA	CDC10
YDL031W	YDL031W_mRNA	DBP10
YMR007W	YMR007W_mRNA	
YLR080W	YLR080W_mRNA	EMP46
YHR113W	YHR113W_mRNA	APE4
YFL068W	YFL068W_mRNA	
YLR145W	YLR145W_mRNA	RMP1
YEL016C	YEL016C_mRNA	NPP2
YOL094C	YOL094C_mRNA	RFC4
YIL169C	YIL169C_mRNA	
YOR336W	YOR336W_mRNA	KRE5
YHR085W	YHR085W_mRNA	IPI1
YNL002C	YNL002C_mRNA	RLP7
YDR354C-A	YDR354C-A_mRNA	
YMR066W	YMR066W_mRNA	SOV1
YLR058C	YLR058C_mRNA	SHM2
YMR016C	YMR016C_mRNA	SOK2
YGR288W	YGR288W_mRNA	MAL13
YMR031C	YMR031C_mRNA	EIS1
YBR025C	YBR025C_mRNA	OLA1
YDL077C	YDL077C_mRNA	VAM6
YLR210W	YLR210W_mRNA	CLB4
YGL100W	YGL100W_mRNA	SEH1
YBR089W	YBR089W_mRNA	
YDL135C	YDL135C_mRNA	RDI1
YGL014W	YGL014W_mRNA	PUF4
YKL027W	YKL027W_mRNA	TCD2
tN(GUU)L	tN(GUU)L_tRNA	
YGL065C	YGL065C_mRNA	ALG2
YDR064W	YDR064W_mRNA	RPS13
YBL060W	YBL060W_mRNA	YEL1
YGR126W	YGR126W_mRNA	
YNL120C	YNL120C_mRNA	
YOR174W	YOR174W_mRNA	MED4
YER040W	YER040W_mRNA	GLN3
YOR275C	YOR275C_mRNA	RIM20
YPL254W	YPL254W_mRNA	HFI1
YPR088C	YPR088C_mRNA	SRP54
YDL072C	YDL072C_mRNA	YET3
YDR053W	YDR053W_mRNA	
YLR269C	YLR269C_mRNA	
YDL012C	YDL012C_mRNA	
YNL052W	YNL052W_mRNA	COX5A
YDR482C	YDR482C_mRNA	CWC21
YMR262W	YMR262W_mRNA	
YDL070W	YDL070W_mRNA	BDF2
YKL153W	YKL153W_mRNA	
YBR209W	YBR209W_mRNA	
YHR160C	YHR160C_mRNA	PEX18
YBL054W	YBL054W_mRNA	TOD6
YLR343W	YLR343W_mRNA	GAS2
YDR464C-A	YDR464C-A_mRNA	
YJL117W	YJL117W_mRNA	PHO86
tL(CAA)N	tL(CAA)N_tRNA	
YIL005W	YIL005W_mRNA	EPS1
YKR079C	YKR079C_mRNA	TRZ1
YGL188C	YGL188C_mRNA	
YDR410C	YDR410C_mRNA	STE14
YNL103W-A	YNL103W-A_mRNA	
YPR197C	YPR197C_mRNA	
YNR039C	YNR039C_mRNA	ZRG17
YDL114W-A	YDL114W-A_mRNA	
YKR018C	YKR018C_mRNA	
YEL026W	YEL026W_mRNA	SNU13
YOR044W	YOR044W_mRNA	IRC23
YMR300C	YMR300C_mRNA	ADE4
YPL073C	YPL073C_mRNA	
YPL058C	YPL058C_mRNA	PDR12
YLL015W	YLL015W_mRNA	BPT1
YDL022C-A	YDL022C-A_mRNA	
YML082W	YML082W_mRNA	
YKR089C	YKR089C_mRNA	TGL4
YKL116C	YKL116C_mRNA	PRR1
YGL018C	YGL018C_mRNA	JAC1
YOR346W	YOR346W_mRNA	REV1
YBR010W	YBR010W_mRNA	HHT1
YFL045C	YFL045C_mRNA	SEC53
tW(CCA)J	tW(CCA)J_tRNA	
YEL021W	YEL021W_mRNA	URA3
YBR067C	YBR067C_mRNA	TIP1
tA(AGC)F	tA(AGC)F_tRNA	
YLR406C-A	YLR406C-A_mRNA	
YDR432W	YDR432W_mRNA	NPL3
YOR014W	YOR014W_mRNA	RTS1
YLR007W	YLR007W_mRNA	NSE1
YBR238C	YBR238C_mRNA	
YDL152W	YDL152W_mRNA	
YER076C	YER076C_mRNA	
tE(CUC)D	tE(CUC)D_tRNA	
YBR047W	YBR047W_mRNA	FMP23
YNL162W-A	YNL162W-A_mRNA	
YJL060W	YJL060W_mRNA	BNA3
YOL069W	YOL069W_mRNA	NUF2
YLR323C	YLR323C_mRNA	CWC24
YOR298C-A	YOR298C-A_mRNA	MBF1
YNL007C	YNL007C_mRNA	SIS1
YBR142W	YBR142W_mRNA	MAK5
tN(GUU)G	tN(GUU)G_tRNA	
YDL240C-A	YDL240C-A_mRNA	
YDL232W	YDL232W_mRNA	OST4
YHR026W	YHR026W_mRNA	VMA16
tS(AGA)E	tS(AGA)E_tRNA	
YDL159W-A	YDL159W-A_mRNA	YDL159W-A
YNL035C	YNL035C_mRNA	
YDR115W	YDR115W_mRNA	MRX14
YCL048W	YCL048W_mRNA	SPS22
YMR064W	YMR064W_mRNA	AEP1
YDR169C	YDR169C_mRNA	STB3
YBL091C	YBL091C_mRNA	MAP2
YCR045W-A	YCR045W-A_mRNA	
YPR200C	YPR200C_mRNA	ARR2
YLL030C	YLL030C_mRNA	RRT7
YFR009W	YFR009W_mRNA	GCN20
YNL317W	YNL317W_mRNA	PFS2
YBL093C	YBL093C_mRNA	ROX3
YLR266C	YLR266C_mRNA	PDR8
YKL155C	YKL155C_mRNA	RSM22
YAR007C	YAR007C_mRNA	RFA1
YHL048C-A	YHL048C-A_mRNA	
YIL106W	YIL106W_mRNA	MOB1
YGL068W	YGL068W_mRNA	MNP1
YPR172W	YPR172W_mRNA	
tF(GAA)P2	tF(GAA)P2_tRNA	
YML011C	YML011C_mRNA	RAD33
YNL001W	YNL001W_mRNA	DOM34
YLL055W	YLL055W_mRNA	YCT1
YKL214C	YKL214C_mRNA	YRA2
YOR194C	YOR194C_mRNA	TOA1
YER115C	YER115C_mRNA	SPR6
tL(UAA)B2	tL(UAA)B2_tRNA	
YHR059W	YHR059W_mRNA	FYV4
YKL039W	YKL039W_mRNA	PTM1
YOR002W	YOR002W_mRNA	ALG6
YDR478W	YDR478W_mRNA	SNM1
YJL146W	YJL146W_mRNA	IDS2
YDR206W	YDR206W_mRNA	EBS1
YOL134C	YOL134C_mRNA	
YPR108W	YPR108W_mRNA	RPN7
YLR278C	YLR278C_mRNA	
YMR111C	YMR111C_mRNA	
YKR101W	YKR101W_mRNA	SIR1
YMR097C	YMR097C_mRNA	MTG1
YDR014W	YDR014W_mRNA	RAD61
YER068C-A	YER068C-A_mRNA	
YOR394W	YOR394W_mRNA	PAU21
YDR457W	YDR457W_mRNA	TOM1
YOR017W	YOR017W_mRNA	PET127
tE(UUC)E2	tE(UUC)E2_tRNA	
YNL094W	YNL094W_mRNA	APP1
YDR083W	YDR083W_mRNA	RRP8
YBL007C	YBL007C_mRNA	SLA1
YKR013W	YKR013W_mRNA	PRY2
YDL171C	YDL171C_mRNA	GLT1
tR(ACG)J	tR(ACG)J_tRNA	
YBL064C	YBL064C_mRNA	PRX1
YEL007W	YEL007W_mRNA	MIT1
YBL088C	YBL088C_mRNA	TEL1
YPL127C	YPL127C_mRNA	HHO1
YLR033W	YLR033W_mRNA	RSC58
YJL136C	YJL136C_mRNA	RPS21B
YDR024W	YDR024W_mRNA	FYV1
YDL004W	YDL004W_mRNA	ATP16
snR81	snR81_snoRNA	SNR81
YPR002W	YPR002W_mRNA	PDH1
YBR023C	YBR023C_mRNA	CHS3
YOR268C	YOR268C_mRNA	
YLR271W	YLR271W_mRNA	CMG1
YGR177C	YGR177C_mRNA	ATF2
YHL039W	YHL039W_mRNA	EFM1
YGR296W	YGR296W_mRNA	YRF1-3
Q0075	Q0075_mRNA	AI5_BETA
YGR068C	YGR068C_mRNA	ART5
YOR142W	YOR142W_mRNA	LSC1
YLR096W	YLR096W_mRNA	KIN2
YHL043W	YHL043W_mRNA	ECM34
YKR042W	YKR042W_mRNA	UTH1
YHR024C	YHR024C_mRNA	MAS2
YDR065W	YDR065W_mRNA	RRG1
YKL191W	YKL191W_mRNA	DPH2
YMR110C	YMR110C_mRNA	HFD1
YGR217W	YGR217W_mRNA	CCH1
YGR035W-A	YGR035W-A_mRNA	
YLR234W	YLR234W_mRNA	TOP3
YBR002C	YBR002C_mRNA	RER2
YMR157C	YMR157C_mRNA	AIM36
YPL266W	YPL266W_mRNA	DIM1
YLR296W	YLR296W_mRNA	
YBR246W	YBR246W_mRNA	RRT2
YOR379C	YOR379C_mRNA	
YGL167C	YGL167C_mRNA	PMR1
YJR161C	YJR161C_mRNA	COS5
YGR050C	YGR050C_mRNA	
YPL081W	YPL081W_mRNA	RPS9A
YPL225W	YPL225W_mRNA	
YJR140C	YJR140C_mRNA	HIR3
YER070W	YER070W_mRNA	RNR1
YDL034W	YDL034W_mRNA	
YLR262C	YLR262C_mRNA	YPT6
YGR187C	YGR187C_mRNA	HGH1
YBR147W	YBR147W_mRNA	RTC2
YOR330C	YOR330C_mRNA	MIP1
YPL155C	YPL155C_mRNA	KIP2
YGL169W	YGL169W_mRNA	SUA5
YIL149C	YIL149C_mRNA	MLP2
YIL147C	YIL147C_mRNA	SLN1
YJL221C	YJL221C_mRNA	IMA4
YCL069W	YCL069W_mRNA	VBA3
YML074C	YML074C_mRNA	FPR3
YJR030C	YJR030C_mRNA	RBH2
YDR111C	YDR111C_mRNA	ALT2
YDR128W	YDR128W_mRNA	MTC5
YJL119C	YJL119C_mRNA	
YER080W	YER080W_mRNA	AIM9
YER052C	YER052C_mRNA	HOM3
YHR033W	YHR033W_mRNA	
tP(UGG)F	tP(UGG)F_tRNA	SUF9
YDR159W	YDR159W_mRNA	SAC3
tQ(UUG)L	tQ(UUG)L_tRNA	
YBL029C-A	YBL029C-A_mRNA	
YOL151W	YOL151W_mRNA	GRE2
YDR118W-A	YDR118W-A_mRNA	
YBL063W	YBL063W_mRNA	KIP1
YKL104C	YKL104C_mRNA	GFA1
tC(GCA)P1	tC(GCA)P1_tRNA	
YEL068C	YEL068C_mRNA	
YLL005C	YLL005C_mRNA	SPO75
YDR118W	YDR118W_mRNA	APC4
YCL057W	YCL057W_mRNA	PRD1
YER132C	YER132C_mRNA	PMD1
Q0140	Q0140_mRNA	VAR1
YOL138C	YOL138C_mRNA	RTC1
YML021C	YML021C_mRNA	UNG1
YPL210C	YPL210C_mRNA	SRP72
YFR034W-A	YFR034W-A_mRNA	
YNL122C	YNL122C_mRNA	
YDL234C	YDL234C_mRNA	GYP7
YLR014C	YLR014C_mRNA	PPR1
YLR404W	YLR404W_mRNA	
YHR119W	YHR119W_mRNA	SET1
YOL019W	YOL019W_mRNA	YOL019W
YMR183C	YMR183C_mRNA	SSO2
YDL098C	YDL098C_mRNA	SNU23
YKL118W	YKL118W_mRNA	
YLR153C	YLR153C_mRNA	ACS2
YBR013C	YBR013C_mRNA	
YFR032C-B	YFR032C-B_mRNA	
YLR078C	YLR078C_mRNA	BOS1
YMR161W	YMR161W_mRNA	HLJ1
YNL058C	YNL058C_mRNA	
YER047C	YER047C_mRNA	SAP1
tT(UGU)G2	tT(UGU)G2_tRNA	
YDL010W	YDL010W_mRNA	GRX6
YNL313C	YNL313C_mRNA	EMW1
YDL065C	YDL065C_mRNA	PEX19
YDR349C	YDR349C_mRNA	YPS7
YKL034W	YKL034W_mRNA	TUL1
YDR050C	YDR050C_mRNA	TPI1
YDR284C	YDR284C_mRNA	DPP1
YOR311C	YOR311C_mRNA	DGK1
YMR030W-A	YMR030W-A_mRNA	
YNL025C	YNL025C_mRNA	SSN8
YHR146W	YHR146W_mRNA	CRP1
YHR195W	YHR195W_mRNA	NVJ1
YCL065W	YCL065W_mRNA	
YKR006C	YKR006C_mRNA	MRPL13
YGR075C	YGR075C_mRNA	PRP38
YDR528W	YDR528W_mRNA	HLR1
YCR020C	YCR020C_mRNA	PET18
YKL073W	YKL073W_mRNA	LHS1
YCL054W-A	YCL054W-A_mRNA	RDT1
YJL084C	YJL084C_mRNA	ALY2
YER170W	YER170W_mRNA	ADK2
YBR149W	YBR149W_mRNA	ARA1
YFR044C	YFR044C_mRNA	DUG1
tE(UUC)Q	tE(UUC)Q_tRNA	
YDL138W	YDL138W_mRNA	RGT2
YJL010C	YJL010C_mRNA	NOP9
YGL153W	YGL153W_mRNA	PEX14
YAL045C	YAL045C_mRNA	
YDL187C	YDL187C_mRNA	
YGL146C	YGL146C_mRNA	RRT6
YCR011C	YCR011C_mRNA	ADP1
YCL076W	YCL076W_mRNA	
YLL021W	YLL021W_mRNA	SPA2
YBR193C	YBR193C_mRNA	MED8
YPR180W	YPR180W_mRNA	AOS1
YHR086W	YHR086W_mRNA	NAM8
YDR545W	YDR545W_mRNA	YRF1-1
YLR150W	YLR150W_mRNA	STM1
YNR075W	YNR075W_mRNA	COS10
YDR253C	YDR253C_mRNA	MET32
YDL112W	YDL112W_mRNA	TRM3
YGR237C	YGR237C_mRNA	
YNL309W	YNL309W_mRNA	STB1
YNR015W	YNR015W_mRNA	SMM1
YKL086W	YKL086W_mRNA	SRX1
YPR151C	YPR151C_mRNA	SUE1
YLR200W	YLR200W_mRNA	YKE2
YJR115W	YJR115W_mRNA	
YGR085C	YGR085C_mRNA	RPL11B
YNL008C	YNL008C_mRNA	ASI3
YPR174C	YPR174C_mRNA	
YLR252W	YLR252W_mRNA	
YLR427W	YLR427W_mRNA	MAG2
YGL240W	YGL240W_mRNA	DOC1
YKL024C	YKL024C_mRNA	URA6
YNL116W	YNL116W_mRNA	DMA2
YDL142C	YDL142C_mRNA	CRD1
YPR033C	YPR033C_mRNA	HTS1
YNL165W	YNL165W_mRNA	
YGR157W	YGR157W_mRNA	CHO2
YJR071W	YJR071W_mRNA	
YDR316W	YDR316W_mRNA	OMS1
YDR157W	YDR157W_mRNA	
YCL004W	YCL004W_mRNA	PGS1
YLR301W	YLR301W_mRNA	HRI1
YOR032C	YOR032C_mRNA	HMS1
YGR265W	YGR265W_mRNA	
YHR180W	YHR180W_mRNA	
YJL051W	YJL051W_mRNA	IRC8
YIL071C	YIL071C_mRNA	PCI8
YJR092W	YJR092W_mRNA	BUD4
YDR428C	YDR428C_mRNA	BNA7
YPR100W	YPR100W_mRNA	MRPL51
YMR100W	YMR100W_mRNA	MUB1
YDR246W	YDR246W_mRNA	TRS23
YOR308C	YOR308C_mRNA	SNU66
YNL234W	YNL234W_mRNA	
YDR354W	YDR354W_mRNA	TRP4
YMR275C	YMR275C_mRNA	BUL1
YIL064W	YIL064W_mRNA	EFM4
YBR237W	YBR237W_mRNA	PRP5
YPR057W	YPR057W_mRNA	BRR1
tK(UUU)K	tK(UUU)K_tRNA	
YPL200W	YPL200W_mRNA	CSM4
YBL106C	YBL106C_mRNA	SRO77
YPL162C	YPL162C_mRNA	
YOR004W	YOR004W_mRNA	UTP23
YPR080W	YPR080W_mRNA	TEF1
YPR004C	YPR004C_mRNA	AIM45
YDR373W	YDR373W_mRNA	FRQ1
YJR119C	YJR119C_mRNA	JHD2
YGL210W	YGL210W_mRNA	YPT32
YAR003W	YAR003W_mRNA	SWD1
YJR060W	YJR060W_mRNA	CBF1
YPR157W	YPR157W_mRNA	TDA6
YNL041C	YNL041C_mRNA	COG6
YDR343C	YDR343C_mRNA	HXT6
YOR140W	YOR140W_mRNA	SFL1
YIL128W	YIL128W_mRNA	MET18
YDR264C	YDR264C_mRNA	AKR1
YPR124W	YPR124W_mRNA	CTR1
YOR266W	YOR266W_mRNA	PNT1
YNR020C	YNR020C_mRNA	ATP23
YKL063C	YKL063C_mRNA	
YOR202W	YOR202W_mRNA	HIS3
YPR177C	YPR177C_mRNA	
tE(UUC)C	tE(UUC)C_tRNA	
YOR248W	YOR248W_mRNA	YOR248W
YHR135C	YHR135C_mRNA	YCK1
YKL138C	YKL138C_mRNA	MRPL31
YJL011C	YJL011C_mRNA	RPC17
YAL038W	YAL038W_mRNA	CDC19
YGR152C	YGR152C_mRNA	RSR1
YER141W	YER141W_mRNA	COX15
YEL004W	YEL004W_mRNA	YEA4
YGR122C-A	YGR122C-A_mRNA	
YDL214C	YDL214C_mRNA	PRR2
YFL050C	YFL050C_mRNA	ALR2
YKR074W	YKR074W_mRNA	AIM29
YDR501W	YDR501W_mRNA	PLM2
YGR166W	YGR166W_mRNA	TRS65
YBR155W	YBR155W_mRNA	CNS1
YKL031W	YKL031W_mRNA	
YBR207W	YBR207W_mRNA	FTH1
YKL221W	YKL221W_mRNA	MCH2
YNL269W	YNL269W_mRNA	BSC4
YOL011W	YOL011W_mRNA	PLB3
YMR079W	YMR079W_mRNA	SEC14
YFR049W	YFR049W_mRNA	YMR31
YAL042W	YAL042W_mRNA	ERV46
YHR056C	YHR056C_mRNA	RSC30
YDL119C	YDL119C_mRNA	HEM25
YLR030W	YLR030W_mRNA	
YOR008C	YOR008C_mRNA	SLG1
YMR242W-A	YMR242W-A_mRNA	
YHR105W	YHR105W_mRNA	YPT35
YJL216C	YJL216C_mRNA	IMA5
YOL166C	YOL166C_mRNA	
YLR414C	YLR414C_mRNA	PUN1
YNR013C	YNR013C_mRNA	PHO91
YHR100C	YHR100C_mRNA	GEP4
YIL131C	YIL131C_mRNA	FKH1
YLR144C	YLR144C_mRNA	ACF2
YDL163W	YDL163W_mRNA	
YKL041W	YKL041W_mRNA	VPS24
YHL036W	YHL036W_mRNA	MUP3
YJL199C	YJL199C_mRNA	MBB1
YGL222C	YGL222C_mRNA	EDC1
YAL010C	YAL010C_mRNA	MDM10
YOR119C	YOR119C_mRNA	RIO1
YIL110W	YIL110W_mRNA	HPM1
YKL100C	YKL100C_mRNA	YPF1
YGR084C	YGR084C_mRNA	MRP13
YNL170W	YNL170W_mRNA	
YGR230W	YGR230W_mRNA	BNS1
YER043C	YER043C_mRNA	SAH1
YKL129C	YKL129C_mRNA	MYO3
YDR198C	YDR198C_mRNA	RKM2
YNL055C	YNL055C_mRNA	POR1
YBR169C	YBR169C_mRNA	SSE2
YNL213C	YNL213C_mRNA	RRG9
YMR167W	YMR167W_mRNA	MLH1
RME3	RME3_ncRNA	RME3
tI(AAU)N1	tI(AAU)N1_tRNA	
YCL037C	YCL037C_mRNA	SRO9
YDR294C	YDR294C_mRNA	DPL1
YGL196W	YGL196W_mRNA	DSD1
tT(AGU)D	tT(AGU)D_tRNA	
tF(GAA)D	tF(GAA)D_tRNA	
YOR130C	YOR130C_mRNA	ORT1
YPR130C	YPR130C_mRNA	
YPL097W	YPL097W_mRNA	MSY1
YER116C	YER116C_mRNA	SLX8
YDR180W	YDR180W_mRNA	SCC2
YPL263C	YPL263C_mRNA	KEL3
YDR448W	YDR448W_mRNA	ADA2
YOR041C	YOR041C_mRNA	YOR041C
YBR214W	YBR214W_mRNA	SDS24
YOR251C	YOR251C_mRNA	TUM1
YKR095W	YKR095W_mRNA	MLP1
YEL018W	YEL018W_mRNA	EAF5
YLR077W	YLR077W_mRNA	FMP25
YOL035C	YOL035C_mRNA	
YHR093W	YHR093W_mRNA	AHT1
YBR117C	YBR117C_mRNA	TKL2
snR10	snR10_snoRNA	SNR10
YER123W	YER123W_mRNA	YCK3
YOR342C	YOR342C_mRNA	
YFR013W	YFR013W_mRNA	IOC3
YFR055W	YFR055W_mRNA	IRC7
YOL050C	YOL050C_mRNA	
YLL066C	YLL066C_mRNA	
YDR287W	YDR287W_mRNA	INM2
YFL041W-A	YFL041W-A_mRNA	
YCL039W	YCL039W_mRNA	GID7
YGL084C	YGL084C_mRNA	GUP1
YIL011W	YIL011W_mRNA	TIR3
YOR376W-A	YOR376W-A_mRNA	
YCR083W	YCR083W_mRNA	TRX3
YMR294W	YMR294W_mRNA	JNM1
YNL273W	YNL273W_mRNA	TOF1
YOR068C	YOR068C_mRNA	VAM10
YCR006C	YCR006C_mRNA	
tA(AGC)P	tA(AGC)P_tRNA	
YLR261C	YLR261C_mRNA	VPS63
YKL124W	YKL124W_mRNA	SSH4
YNL203C	YNL203C_mRNA	
YPL133C	YPL133C_mRNA	RDS2
YGL162W	YGL162W_mRNA	SUT1
YIL159W	YIL159W_mRNA	BNR1
YNR062C	YNR062C_mRNA	
YLR135W	YLR135W_mRNA	SLX4
YGR188C	YGR188C_mRNA	BUB1
YPL267W	YPL267W_mRNA	ACM1
YDL233W	YDL233W_mRNA	MFG1
YMR156C	YMR156C_mRNA	TPP1
YBL098W	YBL098W_mRNA	BNA4
YMR080C	YMR080C_mRNA	NAM7
YPL045W	YPL045W_mRNA	VPS16
YGL113W	YGL113W_mRNA	SLD3
YNL206C	YNL206C_mRNA	RTT106
YGR025W	YGR025W_mRNA	
YLR156W	YLR156W_mRNA	
YML060W	YML060W_mRNA	OGG1
YDR365C	YDR365C_mRNA	ESF1
YOR229W	YOR229W_mRNA	WTM2
YGR182C	YGR182C_mRNA	
YBL002W	YBL002W_mRNA	HTB2
YGL102C	YGL102C_mRNA	
YBL082C	YBL082C_mRNA	ALG3
YLR346C	YLR346C_mRNA	CIS1
YKR025W	YKR025W_mRNA	RPC37
YER177W	YER177W_mRNA	BMH1
YOR387C	YOR387C_mRNA	
YMR075C-A	YMR075C-A_mRNA	
YBR252W	YBR252W_mRNA	DUT1
YDR416W	YDR416W_mRNA	SYF1
YLR276C	YLR276C_mRNA	DBP9
YBR041W	YBR041W_mRNA	FAT1
YER150W	YER150W_mRNA	SPI1
YFL056C	YFL056C	AAD6
YGR031W	YGR031W_mRNA	IMO32
YFR014C	YFR014C_mRNA	CMK1
YDR219C	YDR219C_mRNA	MFB1
YGL176C	YGL176C_mRNA	
YLR322W	YLR322W_mRNA	VPS65
tH(GUG)H	tH(GUG)H_tRNA	
YHR088W	YHR088W_mRNA	RPF1
YMR302C	YMR302C_mRNA	YME2
YCR086W	YCR086W_mRNA	CSM1
YMR098C	YMR098C_mRNA	ATP25
YOR112W	YOR112W_mRNA	CEX1
YBR285W	YBR285W_mRNA	
YMR065W	YMR065W_mRNA	KAR5
YBR068C	YBR068C_mRNA	BAP2
YHR065C	YHR065C_mRNA	RRP3
YAR035W	YAR035W_mRNA	YAT1
YAL034C-B	YAL034C-B_mRNA	YAL034C-B
tQ(UUG)C	tQ(UUG)C_tRNA	
YKR001C	YKR001C_mRNA	VPS1
YJR108W	YJR108W_mRNA	ABM1
YDR377W	YDR377W_mRNA	ATP17
YLR285W	YLR285W_mRNA	NNT1
YLR045C	YLR045C_mRNA	STU2
YDR305C	YDR305C_mRNA	HNT2
Q0020	Q0020_rRNA	15S_RRNA
YIL134W	YIL134W_mRNA	FLX1
YLR190W	YLR190W_mRNA	MMR1
YIL028W	YIL028W_mRNA	
YGL025C	YGL025C_mRNA	PGD1
YNR032W	YNR032W_mRNA	PPG1
YGR271W	YGR271W_mRNA	SLH1
YLR020C	YLR020C_mRNA	YEH2
YML100W-A	YML100W-A_mRNA	
YCL074W	YCL074W	
tD(GUC)G2	tD(GUC)G2_tRNA	
YBR059C	YBR059C_mRNA	AKL1
YML049C	YML049C_mRNA	RSE1
YKR078W	YKR078W_mRNA	
YDR193W	YDR193W_mRNA	
YOR146W	YOR146W_mRNA	
YOR372C	YOR372C_mRNA	NDD1
YJL195C	YJL195C_mRNA	
tI(AAU)P2	tI(AAU)P2_tRNA	
YOR159C	YOR159C_mRNA	SME1
YMR052W	YMR052W_mRNA	FAR3
YPL114W	YPL114W_mRNA	
YMR120C	YMR120C_mRNA	ADE17
YCL029C	YCL029C_mRNA	BIK1
YGL022W	YGL022W_mRNA	STT3
YPL202C	YPL202C_mRNA	AFT2
YER071C	YER071C_mRNA	TDA2
YGR279C	YGR279C_mRNA	SCW4
snR70	snR70_snoRNA	SNR70
YOR227W	YOR227W_mRNA	HER1
YPL140C	YPL140C_mRNA	MKK2
YJL194W	YJL194W_mRNA	CDC6
RDN18-1	RDN18-1_rRNA	RDN18-1
YER176W	YER176W_mRNA	ECM32
YBR085W	YBR085W_mRNA	AAC3
YDL079C	YDL079C_mRNA	MRK1
YOR085W	YOR085W_mRNA	OST3
YOL101C	YOL101C_mRNA	IZH4
YNL067W-A	YNL067W-A_mRNA	YNL067W-A
YLR089C	YLR089C_mRNA	ALT1
YJL047C	YJL047C_mRNA	RTT101
YOL152W	YOL152W_mRNA	FRE7
YDR427W	YDR427W_mRNA	RPN9
YMR052C-A	YMR052C-A_mRNA	
YER145C	YER145C_mRNA	FTR1
YDL044C	YDL044C_mRNA	MTF2
YJL030W	YJL030W_mRNA	MAD2
YPR036W-A	YPR036W-A_mRNA	SPO24
YMR246W	YMR246W_mRNA	FAA4
YLL046C	YLL046C_mRNA	RNP1
YOL073C	YOL073C_mRNA	DSC2
YML133C	YML133C_mRNA	
YKR007W	YKR007W_mRNA	MEH1
YBR245C	YBR245C_mRNA	ISW1
YPL144W	YPL144W_mRNA	POC4
YOR048C	YOR048C_mRNA	RAT1
YGR125W	YGR125W_mRNA	
YNL224C	YNL224C_mRNA	SQS1
YBR065C	YBR065C_mRNA	ECM2
YLR449W	YLR449W_mRNA	FPR4
YLL063C	YLL063C_mRNA	AYT1
YIR019C	YIR019C_mRNA	
YOR154W	YOR154W_mRNA	SLP1
YFL046W	YFL046W_mRNA	FMP32
YDR466W	YDR466W_mRNA	PKH3
YLL008W	YLL008W_mRNA	DRS1
YMR096W	YMR096W_mRNA	SNZ1
YJL159W	YJL159W_mRNA	HSP150
YDR109C	YDR109C_mRNA	
tA(AGC)D	tA(AGC)D_tRNA	
YPL123C	YPL123C_mRNA	RNY1
YNL072W	YNL072W_mRNA	RNH201
YAL026C	YAL026C_mRNA	DRS2
YAL014C	YAL014C_mRNA	SYN8
YGR163W	YGR163W_mRNA	GTR2
YHR054C	YHR054C_mRNA	
YIL067C	YIL067C_mRNA	
YDL024C	YDL024C_mRNA	DIA3
YGL094C	YGL094C_mRNA	PAN2
YGR131W	YGR131W_mRNA	FHN1
YKL198C	YKL198C_mRNA	PTK1
RUF5-2	RUF5-2_ncRNA	RUF5-2
YCL028W	YCL028W_mRNA	RNQ1
YOR036W	YOR036W_mRNA	PEP12
YLR073C	YLR073C_mRNA	RFU1
YHR169W	YHR169W_mRNA	DBP8
YHR079C	YHR079C_mRNA	IRE1
YBR084W	YBR084W_mRNA	MIS1
YER035W	YER035W_mRNA	EDC2
YDL247W-A	YDL247W-A_mRNA	
YPL054W	YPL054W_mRNA	LEE1
YGR248W	YGR248W_mRNA	SOL4
RUF23	RUF23_ncRNA	RUF23
YER142C	YER142C_mRNA	MAG1
YPR121W	YPR121W_mRNA	THI22
YJR128W	YJR128W_mRNA	
YFL013C	YFL013C_mRNA	IES1
YAR061W	YAR061W	
YHR016C	YHR016C_mRNA	YSC84
YOR284W	YOR284W_mRNA	HUA2
YJL193W	YJL193W_mRNA	
YJL176C	YJL176C_mRNA	SWI3
