ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
828	0,0	0,0			113	99
829	0,0	0,0			878	99
830	112,104	311,347			129	99
831	579,513	0,0			285	99
832	778,756	0,0			255	99
833	0,0	0,0			102	99
834	47,11	0,1			156	99
835	0,1	15,20			105	99
836	0,0	2,4			125	99
837	3,2	201,205			156	99
838	5,6	201,205			130	99
839	1,0	187,163			113	99
840	314,323	0,0			174	99
841	0,1	0,0			102	99
842	0,0	1,2			102	99
843	15,84	0,8			102	99
844	17,3	15,13			134	99
845	30,25	208,196			134	99
846	0,0	0,0			195	99
847	17,9	31,34			102	99
848	1330,1068	5,5			192	99
849	1,6	5,2			219	99
850	8155,8500	1,0			291	99
851	5938,10929	23,46			102	99
852	0,16	3,8			102	99
853	18,60	0,6			279	99
854	21,52	0,6			276	99
855	464,340	0,2			314	99
856	267,190	5,1			227	99
857	6,9	1,0			102	99
858	1,2	36,33			137	99
859	13,50	0,0			306	99
860	7,13	0,0			101	99
861	13,21	0,0			201	99
862	29,16	0,0			141	99
863	0,9	0,1			1879	99
864	3517,3254	0,1			330	99
865	0,2	0,1			158	99
866	5,4	0,6			105	99
867	10,10	1,0			105	99
868	4,4	12,8			102	99
869	0,0	0,0			167	99
870	0,0	0,0			103	99
871	0,0	0,0			102	99
872	0,0	4,1			102	99
873	1,0	1,0			328	99
874	0,0	0,0			124	99
875	1,0	0,0			140	99
876	0,1	4,2			258	99
877	1,0	1,3			108	99
878	114,62	1,3			1382	99
879	118,66	1,3			1437	99
880	117,62	1,3			1487	99
881	113,62	0,0			1373	99
882	117,66	0,0			1428	99
883	116,62	0,0			1478	99
884	4,4	0,0			154	99
885	3,0	0,0			204	99
886	1,0	2,4			149	99
887	52,79	10,29			114	99
888	206,173	11,15			137	99
889	45,42	202,165			131	99
890	6,3	202,165			119	99
891	39,39	0,0			111	99
892	8,3	0,0			119	99
893	11,15	0,6			131	99
894	8,7	3,2			102	99
895	0,2	3,2			195	99
896	0,0	8,5			192	99
897	1,4	7,9			144	99
898	29,38	43,17			102	99
899	50,57	9,26			132	99
900	149,346	0,0			831	99
901	2,23	0,3			101	99
902	166,177	0,0			418	99
903	44,89	1,4			165	99
904	2,2	92,89			143	99
905	4,2	94,78			146	99
906	7,4	0,0			1039	99
907	8,48	30,129			120	99
908	8,48	2,1			123	99
909	30,129	2,1			102	99
910	46,164	2,8			120	99
911	582,661	2,0			191	99
912	0,1	0,0			357	99
913	794,676	0,1			546	99
914	1527,1237	2,1			546	99
915	407,294	13,7			245	99
916	266,178	7,8			275	99
917	0,0	0,0			162	99
918	521,387	13,7			123	99
919	7,9	0,1			102	99
920	252,232	55,53			102	99
921	29,19	0,0			312	99
922	24,20	37,19			102	99
923	0,0	0,0			114	99
924	0,0	0,0			143	99
925	2017,1185	2,1			104	99
926	361,305	50,31			1356	99
927	0,0	0,0			288	99
928	0,0	0,0			238	99
929	0,0	0,0			155	99
930	0,0	0,0			106	99
931	0,0	0,0			106	99
932	0,0	0,0			106	99
933	0,0	0,0			102	99
934	91,61	7,14			108	99
935	1,1	48,167			188	99
936	299,292	1,0			105	99
937	33,31	3,3			112	99
938	77,41	802,531			112	99
939	14244,8649	0,4			1029	99
940	0,0	0,0			102	99
941	18,21	0,0			104	99
942	5,11	0,0			104	99
943	34,24	0,0			663	99
944	0,0	0,1			102	99
945	0,1	0,0			166	99
946	0,0	0,0			142	99
947	928,711	3381,3982			944	99
948	26,8	8,14			102	99
949	39,22	14,8			102	99
950	222,265	10,35			169	99
951	3,8	0,1			251	99
952	3,4	1,0			108	99
953	0,0	0,0			117	99
954	13,13	0,1			104	99
955	19,13	5,1			104	99
956	222,273	4,15			102	99
957	1,4	191,123			154	99
958	223,138	1,2			141	99
959	127,68	1,0			141	99
960	23,10	69,42			164	99
961	50,37	69,42			295	99
962	30,28	3,1			230	99
963	465,265	6,1			170	99
964	0,0	0,0			152	99
965	0,0	1,6			120	99
966	116,348	1,0			346	99
