gene_symbol$transcript_id$relative_likelihood$best_order$number_of_orders_have_same_prob$percent_coverage_order_pair$disorder_p_value$spearman_rho$spearman_rho_abs$spearman_p_value
tup11$SPAC18B11.10.1$0$1,2$1$1$-8.97451693223043$1$1$1
tma23$SPAC1952.02.1$-1.69459572077441$2,1$1$1$-15.6338496762871$-1$1$1
SPAC1952.04c$SPAC1952.04c.1$-1.04796855584935$3,1,2$2$1$-12.5499701842544$-0.5$0.5$1
rad1$SPAC1952.07.1$-1.57059807911784$2,1$1$1$-4.14463603706358$-1$1$1
ned1$SPAC1952.13.1$0$1,2$1$1$-3.06451459115529$1$1$1
yos1$SPAC19A8.09.1$-5.08140436498446$1,3,2$1$1$-40.6708557728327$0.5$0.5$1
SPAC19B12.06c$SPAC19B12.06c.1$-1.66500776358891$2,1,3$1$1$-9.97819024709182$0.5$0.5$1
SPAC19B12.07c$SPAC19B12.07c.1$0$1,2$2$1$0$1$1$1
srp14$SPAC19B12.09.1$0$1,2$1$1$-41.5547879712431$1$1$1
cid1$SPAC19D5.03.1$-3.71357206670431$2,1$1$1$-3.87792102055748$-1$1$1
fin1$SPAC19E9.02.1$0$1,2$1$1$-4.14463603706358$1$1$1
cut20$SPAC19G12.01c.1$-3.04452243772342$2,1,3,4$1$1$-27.2806655586397$0.8$0.8$0.333333333333333
its3$SPAC19G12.14.1$0$1,2$1$1$-3.87792102055748$1$1$1
erh1$SPAC19G12.17.1$-20.0638644354063$5,2,3,4,1$1$1$-178.548848799828$-0.6$0.6$0.35
mcm5$SPAC1B2.05.1$0$1,2$1$1$-5.43262951750031$1$1$1
SPAC1B3.02c$SPAC1B3.02c.1$-3.29040207001837$1,3,2$1$1$-124.166796765387$0.5$0.5$1
not3$SPAC1B3.05.1$-2.31163492851396$1,3,2$1$1$-11.4748498087434$0.5$0.5$1
rpb10$SPAC1B3.12c.1$-3.04452243772342$2,1$1$1$-14.3454297554385$-1$1$1
SPAC1B9.03c$SPAC1B9.03c.1$-0.497838428239179$2,1$1$1$-0.739610443725583$-1$1$1
grh1$SPAC1D4.02c.1$-3.17559984138638$3,1,2$1$1$-5.50513308562641$-0.5$0.5$1
cct2$SPAC1D4.04.1$-1.46633706879343$2,1$1$1$-7.29929099149976$-1$1$1
csk1$SPAC1D4.06c.1$0$1,2$1$1$-8.42925322172309$1$1$1
SPAC1F12.10c$SPAC1F12.10c.1$-0.669049628980885$2,1$1$1$-0.891614198476317$-1$1$1
gga21$SPAC1F3.05.1$-0.68491668142343$2,1,3$1$1$-1.19927619001592$0.5$0.5$1
SPAC1F5.10$SPAC1F5.10.1$-4.21010535249772$2,1$1$1$-49.1751201238399$-1$1$1
SPAC1F7.11c$SPAC1F7.11c.1$-1.86478460424294$2,1$1$1$-3.70750745656882$-1$1$1
caf16$SPAC20G4.01.1$0$1,2$1$1$-0.574750710492074$1$1$1
adf1$SPAC20G4.06c.1$0$1,2$1$1$-21.9744259534742$1$1$1
nat10$SPAC20G8.09c.1$0$1,2$2$1$0$1$1$1
sey1$SPAC222.14c.1$-1.71297859137494$2,3,1$1$1$-7.04029329949854$-0.5$0.5$1
SPAC222.18$SPAC222.18.1$-6.60800062529609$2,1$1$1$-53.7428001113318$-1$1$1
yth1$SPAC227.08c.1$0$1,2$1$1$-1.30606938532732$1$1$1
gim4$SPAC227.10.1$-5.89079597733386$3,2,1$1$1$-4.78147079442515$-1$1$0.333333333333333
yos9$SPAC227.11c.1$0$1,2$1$1$-1.30606938532732$1$1$1
yfh7$SPAC227.14.1$-2.39789527279837$2,1$1$1$-1.30606938532732$-1$1$1
SPAC22A12.14c$SPAC22A12.14c.1$-1.57059807911784$2,1$1$1$-4.14463603706358$-1$1$1
rlp24$SPAC22E12.13c.1$-0.21433997304745$2,1$1$1$-0.862191868420058$-1$1$1
pik1$SPAC22E12.16c.1$-0.0735625671770168$2,1,3$1$1$-3.10699684794635$0.5$0.5$1
glo3$SPAC22E12.17c.1$-1.53870136134232$2,1$1$1$-6.8008879092233$-1$1$1
atp20$SPAC22F3.07c.1$0$1,2$1$1$-27.8542200998767$1$1$1
snu23$SPAC22F3.11c.1$-5.80759634032187$2,1$1$1$-250.806400832141$-1$1$1
fra1$SPAC22G7.01c.1$0$1,2$2$1$0$1$1$1
iss1$SPAC22G7.10.1$-4.11087386417331$2,1$1$1$-5.43262951750031$-1$1$1
SPAC22H10.02$SPAC22H10.02.1$0$1,2$1$1$-73.9419904321479$1$1$1
ppa3$SPAC22H10.04.1$-1.50773370797938$2,1$1$1$-12.903561452473$-1$1$1
tfg3$SPAC22H12.02.1$-3.43398720448515$2,3,1$1$1$-0.91176394109504$-0.5$0.5$1
cmk2$SPAC23A1.06c.1$-3.98762811415314$2,3,1$1$1$-19.2209313043638$-0.5$0.5$1
php3$SPAC23C11.08.1$-3.61605271211626$3,2,1$1$1$-4.2956886513798$-1$1$0.333333333333333
pst2$SPAC23C11.15.1$0$1,2$1$1$-1.18090454668385$1$1$1
rho3$SPAC23C4.08.1$-0.754599959773609$2,1$1$1$-2.47127163199479$-1$1$1
SPAC23C4.09c$SPAC23C4.09c.1$-11.8904110645592$4,1,3,2$1$1$-73.090199186803$-0.4$0.4$0.75
atp18$SPAC23C4.11.1$0$1,2$1$1$-3.56844778427746$1$1$1
hhp2$SPAC23C4.12.1$0$1,2$1$1$-3.87792102055748$1$1$1
bet1$SPAC23C4.13.1$0$1,2$1$1$-5.00735299014261$1$1$1
rpb5$SPAC23C4.15.1$-0.151806012868004$2,1$1$1$-0.246628878496835$-1$1$1
rad4$SPAC23C4.18c.1$0$1,2$1$1$-3.87792102055748$1$1$1
pup1$SPAC23D3.07.1$0$1,2$1$1$-1.15588957043771$1$1$1
SPAC23D3.13c$SPAC23D3.13c.1$-9.0217190130337$2,3,1$1$1$-11.0604163348975$-0.5$0.5$1
SPAC23D3.16$SPAC23D3.16.1$0$1,2$1$1$-5.72864756009422$1$1$1
SPAC23D3.17$SPAC23D3.17.1$0$1,2$1$1$-1.79889198329438$1$1$1
nop58$SPAC23G3.06.1$0$1,2$1$1$-8.84006870520077$1$1$1
rpn6$SPAC23G3.11.1$-1.51477268589302$2,1$1$1$-5.21085055003456$-1$1$1
ini1$SPAC23H3.02c.1$0$1,2,3$1$1$-11.2728512278063$1$1$0.333333333333333
mrp2$SPAC23H3.07c.1$0$1,2$1$1$-15.88719173699$1$1$1
SPAC23H3.14$SPAC23H3.14.1$0$1,2$1$1$-6.32073676251379$1$1$1
slm3$SPAC23H4.04.1$0$1,2$1$1$-22.9058251741747$1$1$1
SPAC23H4.16c$SPAC23H4.16c.1$-11.6077641050457$3,2,1$1$1$-51.8434585880991$-1$1$0.333333333333333
rbx1$SPAC23H4.18c.1$-1.23518782367386$1,3,2$1$1$-4.01612247782031$0.5$0.5$1
cox8$SPAC24C9.16c.1$0$1,2,3$1$1$-24.708387831765$1$1$0.333333333333333
atp19$SPAC25H1.10c.1$-1.72884564381749$2,1$1$1$-9.01939660343271$-1$1$1
myh1$SPAC26A3.02.1$-0.389464766761723$2,1$1$1$-0.424836659504675$-1$1$1
chc1$SPAC26A3.05.1$-0.896243799928864$2,1$1$1$-5.51892611231073$-1$1$1
bud23$SPAC26A3.06.1$0$1,2$1$1$-4.60869597204092$1$1$1
cnt6$SPAC26A3.10.1$0$1,2$1$1$-2.26165178572302$1$1$1
SPAC26A3.14c$SPAC26A3.14c.1$-0.600215123160588$2,1$1$1$-4.03995949159696$-1$1$1
